SubjID,L_bankssts_surfavg,L_caudalanteriorcingulate_surfavg,L_caudalmiddlefrontal_surfavg,L_cuneus_surfavg,L_entorhinal_surfavg,L_fusiform_surfavg,L_inferiorparietal_surfavg,L_inferiortemporal_surfavg,L_isthmuscingulate_surfavg,L_lateraloccipital_surfavg,L_lateralorbitofrontal_surfavg,L_lingual_surfavg,L_medialorbitofrontal_surfavg,L_middletemporal_surfavg,L_parahippocampal_surfavg,L_paracentral_surfavg,L_parsopercularis_surfavg,L_parsorbitalis_surfavg,L_parstriangularis_surfavg,L_pericalcarine_surfavg,L_postcentral_surfavg,L_posteriorcingulate_surfavg,L_precentral_surfavg,L_precuneus_surfavg,L_rostralanteriorcingulate_surfavg,L_rostralmiddlefrontal_surfavg,L_superiorfrontal_surfavg,L_superiorparietal_surfavg,L_superiortemporal_surfavg,L_supramarginal_surfavg,L_frontalpole_surfavg,L_temporalpole_surfavg,L_transversetemporal_surfavg,L_insula_surfavg,R_bankssts_surfavg,R_caudalanteriorcingulate_surfavg,R_caudalmiddlefrontal_surfavg,R_cuneus_surfavg,R_entorhinal_surfavg,R_fusiform_surfavg,R_inferiorparietal_surfavg,R_inferiortemporal_surfavg,R_isthmuscingulate_surfavg,R_lateraloccipital_surfavg,R_lateralorbitofrontal_surfavg,R_lingual_surfavg,R_medialorbitofrontal_surfavg,R_middletemporal_surfavg,R_parahippocampal_surfavg,R_paracentral_surfavg,R_parsopercularis_surfavg,R_parsorbitalis_surfavg,R_parstriangularis_surfavg,R_pericalcarine_surfavg,R_postcentral_surfavg,R_posteriorcingulate_surfavg,R_precentral_surfavg,R_precuneus_surfavg,R_rostralanteriorcingulate_surfavg,R_rostralmiddlefrontal_surfavg,R_superiorfrontal_surfavg,R_superiorparietal_surfavg,R_superiortemporal_surfavg,R_supramarginal_surfavg,R_frontalpole_surfavg,R_temporalpole_surfavg,R_transversetemporal_surfavg,R_insula_surfavg,LThickness,RThickness,LSurfArea,RSurfArea,ICV
0001-1_for2107,1141,500,1823,1646,399,2788,4041,3109,763,4295,2232,2960,1328,2858,586,1032,1475,556,1202,1423,3384,863,4233,3212,601,4099,6527,4612,3159,3160,206,419,399,1947,861,799,1697,1356,339,2915,5334,3079,774,4515,2212,2885,1549,2990,441,1258,903,689,1400,1405,3329,995,4468,3414,631,4802,6102,4734,3296,2599,291,389,262,2121,2.64066,2.64644,72975.4,74834.5,1356070
0007-1_for2107,1130,744,1949,1584,327,3405,4120,2772,641,5285,2580,3226,1500,2946,763,1274,2045,700,1828,1378,3797,1008,4413,3661,817,5888,6792,5379,3566,3591,247,352,443,2106,1016,673,1973,1609,313,3480,5421,2661,661,4603,2568,3309,1844,3011,621,1498,1273,766,1925,1788,3330,1059,4317,3794,705,5337,7429,5505,3220,2920,291,315,353,2455,2.49872,2.49772,82257.5,82040.1,1466180
0008-1_for2107,889,674,2296,1638,359,2928,4275,2605,890,5395,2509,2999,1729,2778,539,1473,1616,591,1325,1455,4330,1271,4608,3937,953,5570,7120,4634,3476,3558,230,488,419,1902,791,1061,2253,1605,289,2822,4469,2709,737,5143,2443,3138,1923,2767,497,1604,1361,803,1415,1529,3907,1322,4159,3810,567,5375,6773,5458,3376,3591,345,395,338,2092,2.66492,2.68678,81456.9,80866.7,1411600
0009-1_for2107,741,598,1940,1536,381,2889,3515,2150,822,4545,2329,2663,1568,2246,667,1201,1621,512,1115,1585,3534,1049,4227,3384,621,4501,6468,4879,3355,3027,189,362,443,1579,868,588,1859,1376,283,2625,4549,2271,851,3553,2290,2853,1335,2662,552,1323,1362,547,1007,1707,3474,1045,4349,3519,687,5156,6220,4524,3196,3325,230,307,281,1727,2.67407,2.68956,72241.6,72500.9,1184180
0010-1_for2107,960,757,2287,1472,521,3017,4604,3359,1055,5233,2393,3222,1813,3018,833,1275,1569,NA,1276,1254,3950,1300,4744,4064,946,6350,6520,6147,3476,3699,267,478,411,2265,936,792,1773,1552,346,3353,5891,3432,1025,5275,2740,2861,1989,3074,716,1401,1393,719,1502,1411,3738,1173,5284,3997,677,6665,6336,5901,3389,3158,368,467,298,2057,2.5595,2.51652,85092.5,85688.7,1567670
0011-1_for2107,1040,660,1911,1531,345,3019,4425,2835,1012,4958,2253,2771,1909,2758,538,1259,1654,580,1637,1303,4144,1072,4806,3417,847,5270,6751,4812,3381,3482,227,502,514,2160,982,713,2539,1500,314,2709,5078,2837,852,5025,2515,2895,1821,3163,629,1538,1352,641,1207,1432,4268,821,4750,3385,688,5809,6310,4868,3141,3375,230,343,251,1997,2.62417,2.60274,79781.4,79979.7,1373110
0012-1_for2107,786,553,2402,1509,371,2973,4041,2598,781,3881,2525,2639,1577,2423,605,1365,1550,587,1325,1186,3839,1059,4430,3163,829,5190,6816,4282,3701,4495,201,438,367,2211,923,969,2070,1327,293,2823,4856,3051,787,3962,2316,2561,1633,3286,577,1385,1155,677,1575,1253,3649,1313,4620,3461,879,5066,6736,4421,2926,3333,273,328,244,2238,2.53987,2.52488,76695.8,76964.2,1467600
0013-1_for2107,1105,751,1987,1619,445,3282,3660,3303,570,4552,2632,3095,1628,2752,662,1225,1409,611,1182,1400,3674,1115,4165,3534,746,5006,6441,4785,3464,3698,218,394,401,2119,964,885,2051,1412,397,3408,5272,2933,730,4928,2405,2787,1635,3027,658,1580,1448,682,1526,1491,3529,1043,4135,4023,720,4707,6276,4956,3856,3317,240,413,321,2394,2.62005,2.63832,77634.3,80146.6,1460800
0014-1_for2107,1311,650,2643,1685,502,3939,4952,3881,969,5045,2491,4213,1566,3829,792,1558,1832,686,1312,2024,4369,1019,5556,4174,901,5813,8072,6306,4472,4650,178,531,606,2113,1041,940,1746,1721,368,3714,7236,3999,902,4857,2272,3837,1753,4249,749,1865,1625,783,1262,2094,4179,1684,5865,3981,712,6698,7657,6153,3960,3932,285,364,355,2169,2.45967,2.49485,94641.3,95006.6,1368170
0015-1_for2107,1086,683,2539,1713,436,3993,4831,3557,911,5302,2763,3366,1523,3142,934,1467,1753,570,1487,1507,4845,920,5373,4002,940,7253,8623,6032,3848,3799,189,456,451,2643,1035,1136,2684,1691,251,3740,5215,3548,1142,5338,2701,3521,1868,3503,770,1734,1497,798,1563,1734,4259,1654,5089,3673,932,6696,7044,5451,3608,3983,240,374,331,2344,2.63017,2.63853,92938.9,91147,1598780
